overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime
5,2.0,True,2016-05-30,A2VORI4261A2QD,0972683275,,TheAmazonDudde,"I originally bought this for a Sony 40"" TV, but installed it with a Vizio 42"" instead. I did this because the Sony is an older model TV and weighs a little over 50lbs (which is still within this mounts rating) and the Vizio only weights 23lbs. I have a Sanus extended articulating mount that I bought a few years ago and paid over $100 dollars for it. (It now costs over $150) The Sanus is much stouter in construction than this VideoSecu mount is, so by reading some of the reviews on here and not knowing exactly how this mount was going to measure up pre-install, I swapped out TV's to match mounts accordingly.

Now that installation is complete, I'm sure this mount would handle either TV just fine. Is it the same quality as the Sanus? No, but it has enough quality to perform its advertised claims. I saw some reviews on here complaining about mount sag after install. Now this is based on the 23 lb TV, but I'm not experiencing this problem. The mount has 4 pivot points and after installation, ALL need to be tightened to the point that movement is allowed with intentional moderate force. Out of the box, this mount would have sagged like others complained, but I'm guessing its left slightly loose to help ease the installation process.

I won't hesitate to buy another one in the future if the need arises. An excellent price ($30) for a good quality mount. If you want a mount that you can do pull ups on after install, buy the Sanus (and pay 5x more to do it). If you want a mount that you can safely hang and secure your TV on, save some cash and buy this mount.",I'm sure this mount would handle either TV just fine. Is it the same quality as the Sanus,1464566400.0
5,,True,2016-11-04,A2RCD6WECUU6A9,1616825375,,Aphrael,"I'm very pleased with this protective cover for my new Nook Simple Touch.  It's easy to install and remove the Nook.  Unlike my previous cover (which I lost along with my Nook on a backpacking trip), this cover holds the Nook by way a pair rugged plastic tabs that perfectly fir the little detentes in the top and bottom edge of the Nook.  (I never knew what those detentes were for before getting this cover).  At first I was a little skeptical about how securely the Nook would be held in place, but it's not a problem - they hold quite securely.

The cover has a nice feel, almost like a hybrid between rubber and suede.

I was also quite surprised when  to find that his cover appears to be a genuine Barnes and Noble product.  It came in a nice box that has lots of Barnes and Noble identification, and a price tag showing a Barnes and Noble list price that is almost 4 times what I paid here at Amazon.

I'm very pleased because I really like good function at a great price, and this cover is just that.","Good function, feel, and quality at a great price.",1478217600.0
4,,True,2016-12-21,A1G6R6578G1KSX,9806010728,,Vincent Carranza,"It's good but could use clips to secure the power splitter to the main one. This could result in a short or loss of power. Hasn't happen yet, seems to hold its place so far. But wouldn't be a bad idea to have clips to hold them together.",Could use clips,1482278400.0
5,,True,2017-07-15,A20M63IEHLKYO,B000001ON6,,MTR,"My Wife & I are in the stage of life where we have dozens of 2-hour VHS format Video Tapes with precious memories of our children.  We have two practically new VCRs which I determined would need a lot of cleaning while transferring the Video to a Digital Format.  Its hard to find good quality Wet Cleaner type VCR cleaners in the stores these days so I was delighted to find your product, a&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Maxell-VP-200-VHS-Wet-Cleaner-2-Pack/dp/B06XR7MXRS/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Maxell VP-200 VHS Wet Cleaner 2-Pack</a>&nbsp;2-Pack available for a good price.  It will help ensure we obtain High-Quality digital copies of our memories to be able to hand down to our children.",The Perfect Solution to obtaining High-Quality copies of our VHS Videotapes,1500076800.0
4,,True,2016-08-04,A3IZBWYYS8J9YL,B000001OM4,{'Format:': ' Electronics'},Jeffrey G,"This adapter works well with my 1994 Corvette. The only issue that I have is the sound quality isn't great. Sometimes I can't hear the vocals of songs playing. It has held up very well with a lot of use though. I have had only one problem using my mp3 player with this adapter, it played the same song over and over again. It was fixed just by simple removing the internal gears and only leaving what was needed. Don't let that scare you away, it's a very simple process, just ask any search engine.

Any portable audio device can be used as long as it has a 3.5mm jack. The adapter is guaranteed to fit into any cassette player and comes with a lifetime warranty!

I would recommend this cassette audio adapter if you want to save a few dollars, unless you're an audiophile.",Works well with 94 Vette,1470268800.0
5,,True,2017-04-18,A3P0IIYQ1TXIQX,B000001OM5,{'Format:': ' Electronics'},Amazon Adam,"Seemed to have work beautifully to fix my for my in-dash OEM CD player for my 12 year old vehicle. The CDs always kept skipping when playing any CD, it was quite annoying. I'm glad however that the CD player had a dirty or oily lens which was resolved rather easily and quickly than something larger. I have a 6 disc changer and tried it on each one just to be on the safe side. The instructions were easy to follow and it was quick and simple. Use it several times to ensure the lens grime, dust or oil is removed completely. May not work on the first try, but it does work very well. Keep at it!",Did a great job resolving skipping CDs on in-dash 6 disc CD changer.,1492473600.0
5,,True,2017-08-04,A2U9OALV22IYS6,B00000J1TM,,Kingsinnersoul,"I got the red band --> 10 to 35 Pounds (1/2 "" *4.5mm). It arrived in a plastic packaging, and was secured with two little red bands. It is the perfect width overall. and you can step on it and do goo stretches. I found that double twisting the band makes it better on short stretches.",Good quality band!,1501804800.0
3,3.0,True,2017-08-05,A1FTLC2RBYADR4,B00000J4EY,"{'Size:': ' 6ft Power Cord', 'Style:': ' 7 Outlet'}",Mark,"I mounted this and plugged it all up last night.  It certainly seems to be a decently designed and made device, and I believe it will serve well in the role of outlet strip.  Why three stars?  It's because I read the fine print on the package concerning warranty.  The Amazon website description touts a $10,000 equipment warranty.  But the package fine print states that the equipment must be ""computer equipment"".  It also states that the warranty is void in case of lightning strikes.  Why else do we buy surge suppressors?  So the device is good, but the description of the warranty is misleading.",Decent device.  Misleading description of warranty.,1501891200.0
4,,True,2017-02-13,A335VJEGGL26PQ,B00000J4EY,"{'Size:': ' 15ft Power Cord', 'Style:': ' 6 Outlet'}",furf,Love the long cord. The surge protector seems well made and the connections are solid. My only complaint is that I had difficultly mounting this securely to the wall as the slots in the back are not as easy to use as on other power strips.,Great option for a 15' cord power strip,1486944000.0
5,,False,2017-11-25,A306NASGVUDFKF,B00000JBHP,{'style:': ' Professional'},Jeffrey E,"I own about 10 or 12 headphones and they are scattered all throughout the house and a few at work. Wireless, wired, noise canceling, over ear and on ear and several earbuds for good measure.  Some are cheap and some are quite expensive, but all hold up to my liking.  So it was easy for me to jump on these headphones from Yamaha offered via Amazon Vine as I am always on the lookout for for new phones to listen to my music.

I must say right off the bat that I really like these headphones a lot. They fulfill all my requirements when listening to music - comfort, quality, signal range and signal response.  All with one minor caveat (I would give these 4.5 stars if I could).

Comfort:  These are lightweight and sit comfortably on the head.  They are easy to adjust to head size and are not overly tight and they are not too loose.  The cups are large enough for my big ears (which many fail here for me!) and the pads are very comfortable against the skin.  The headband sits nicely on the head and does not push my hair around or bind anywhere.  5 stars for comfort!

Quality:  These are lightweight but they appear to be very well made (time will tell how long they hold up).  I can not see any obvious areas for concern.  The hinges are strong and stable and have their own built in backup for added support.  The cord is robust and nicely secured to the earmuff, there is a 60 degree bend at the jack - nice touch.  5 stars for quality!

Signal range / response: These sound great.  The bass is not overly powerful but is clearly present and the highs are crisp without coming across as brassy.  The range is broad and a flat signal sounds great - no equalization needed to get great sound.  This is really nice because I listen to a lot of different music types and styles. 5-stars for sound!

So what is my caveat?  The cord coil.  I like a coiled cord in many circumstances - like plugged into my phone.  I hate when I get a 6' cord and have to deal with a unruly snake that ends up getting tangled all over the place.  However...  When sitting at my desk, the coiled cord tends to pull because my jack is slightly too far away.  I am sure that this will free up a bit over time but right out of the box it is a bit too tightly coiled. Take away half a star for this but I honestly struggle with cords - and the lack thereof!  You either end up with a tangled string that catches on everything, a coil that tethers you too close to the source or a wireless connection that compromises on fidelity, resolution and range.

Overall, these are my new favorites.  I can get past the ""newness"" to say this with honesty.  These are damn nice headphones!.  While typing I have listened to Joe Russo, Waylon Jennings, Steep Canyon Rangers, Robin Trower, Bach, Joe Bonamassa, Eric Clapton, Pink Floyd, Jim Gaffigan and BFG - all sound fantastic; even the cord has loosened up a bit.

Great addition to anyone's music.

Cheers!","Fantastic sound, lightweight and comfortable",1511568000.0
